personID,gender,i10,h,maxcit,firstyrpub
ID1,M,241,74,1493,1994
ID2,M,363,123,1888,1985
ID3,M,12,12,252,2009
ID4,M,163,55,862,1981
ID5,M,219,72,1490,1997
ID6,F,72,38,271,1996
ID7,M,15,13,111,2005
ID8,F,39,23,235,2006
ID9,M,206,73,775,1988
ID10,M,148,57,9248,2006
ID11,F,22,16,543,2001
ID12,F,6,6,43,2013
ID13,M,32,17,108,2011
ID14,M,59,23,107,2005
ID15,F,87,34,128,1995
ID16,F,59,34,420,2001
ID17,M,128,46,487,2000
ID18,F,11,11,50,2009
ID19,F,21,15,63,2009
ID20,M,42,22,216,2001
ID21,F,199,73,872,1996
ID22,M,418,104,1860,1982
ID23,F,60,36,702,1999
ID24,M,116,46,6751,1977
ID25,F,30,20,232,1991
ID26,M,363,123,6751,1965
ID27,M,583,155,5944,1954
ID28,M,192,64,1855,1980
ID29,F,194,99,9413,1989
ID30,F,37,25,1196,2007
ID31,F,3,5,141,2015
ID32,F,18,16,174,1997
ID33,F,43,30,1435,1998
ID34,F,25,17,257,2006
ID35,M,166,47,566,1991
ID36,F,134,57,976,1996
ID37,M,342,90,927,1977
ID38,F,190,76,927,1983
ID39,M,257,88,4458,1983
ID40,F,37,29,1044,2000
ID41,F,32,19,207,2003
ID42,M,3,6,60,2015
ID43,F,68,32,215,2003
ID44,F,147,60,965,1991
ID45,M,20,19,164,2003
ID46,M,123,51,407,1969
ID47,F,250,75,959,1991
ID48,M,73,41,1000,1992
ID49,F,29,23,1908,2003
ID50,M,18,16,581,2010
ID51,F,256,97,8423,1983
ID52,M,111,52,1139,2003